2025-10-06 13:32:02,299 - Image: frame_0003.jpg, Person: 1, PixelHeight: 341.8px, Estimated: 10.59m, Real: 5.00m, 
2025-10-06 13:32:02,429 - Image: frame_0009.jpg, Person: 1, PixelHeight: 334.1px, Estimated: 10.84m, Real: 5.00m, 
2025-10-06 13:32:02,615 - Image: frame_0004.jpg, Person: 1, PixelHeight: 336.0px, Estimated: 10.78m, Real: 5.00m, 
2025-10-06 13:32:02,742 - Image: frame_0006.jpg, Person: 1, PixelHeight: 334.2px, Estimated: 10.83m, Real: 5.00m, 
2025-10-06 13:32:02,931 - Image: frame_0002.jpg, Person: 1, PixelHeight: 346.7px, Estimated: 10.44m, Real: 5.00m, 
2025-10-06 13:32:03,110 - Image: frame_0007.jpg, Person: 1, PixelHeight: 352.9px, Estimated: 10.26m, Real: 5.00m, 
2025-10-06 13:32:03,242 - Image: frame_0001.jpg, Person: 1, PixelHeight: 338.8px, Estimated: 10.69m, Real: 5.00m, 
2025-10-06 13:32:03,369 - Image: frame_0005.jpg, Person: 1, PixelHeight: 347.0px, Estimated: 10.44m, Real: 5.00m, 
2025-10-06 13:32:03,496 - Image: frame_0008.jpg, Person: 1, PixelHeight: 353.0px, Estimated: 10.26m, Real: 5.00m, 
2025-10-06 13:32:03,620 - Image: frame_0000.jpg, Person: 1, PixelHeight: 348.6px, Estimated: 10.39m, Real: 5.00m, 
2025-10-06 13:32:03,749 - Image: frame_0003.jpg, Person: 1, PixelHeight: 350.0px, Estimated: 10.34m, Real: 5.00m, 
2025-10-06 13:32:03,886 - Image: frame_0009.jpg, Person: 1, PixelHeight: 349.0px, Estimated: 10.38m, Real: 5.00m, 
2025-10-06 13:32:04,022 - Image: frame_0004.jpg, Person: 1, PixelHeight: 348.5px, Estimated: 10.39m, Real: 5.00m, 
2025-10-06 13:32:04,210 - Image: frame_0006.jpg, Person: 1, PixelHeight: 351.6px, Estimated: 10.30m, Real: 5.00m, 
2025-10-06 13:32:04,346 - Image: frame_0002.jpg, Person: 1, PixelHeight: 330.7px, Estimated: 10.95m, Real: 5.00m, 
2025-10-06 13:32:04,481 - Image: frame_0007.jpg, Person: 1, PixelHeight: 234.3px, Estimated: 15.45m, Real: 10.00m, 
2025-10-06 13:32:04,614 - Image: frame_0001.jpg, Person: 1, PixelHeight: 218.2px, Estimated: 16.59m, Real: 10.00m, 
2025-10-06 13:32:04,749 - Image: frame_0005.jpg, Person: 1, PixelHeight: 234.6px, Estimated: 15.43m, Real: 10.00m, 
2025-10-06 13:32:04,956 - Image: frame_0000.jpg, Person: 1, PixelHeight: 230.4px, Estimated: 15.71m, Real: 10.00m, 
2025-10-06 13:32:05,091 - Image: frame_0003.jpg, Person: 1, PixelHeight: 233.7px, Estimated: 15.49m, Real: 10.00m, 
2025-10-06 13:32:05,222 - Image: frame_0009.jpg, Person: 2, PixelHeight: 230.6px, Estimated: 15.70m, Real: 10.00m, 
2025-10-06 13:32:05,356 - Image: frame_0004.jpg, Person: 1, PixelHeight: 234.5px, Estimated: 15.44m, Real: 10.00m, 
2025-10-06 13:32:05,492 - Image: frame_0006.jpg, Person: 1, PixelHeight: 237.4px, Estimated: 15.25m, Real: 10.00m, 
2025-10-06 13:32:05,627 - Image: frame_0002.jpg, Person: 1, PixelHeight: 220.1px, Estimated: 16.45m, Real: 10.00m, 
2025-10-06 13:32:05,762 - Image: frame_0007.jpg, Person: 1, PixelHeight: 482.2px, Estimated: 7.51m, Real: 5.00m, 
2025-10-06 13:32:05,898 - Image: frame_0001.jpg, Person: 1, PixelHeight: 447.0px, Estimated: 8.10m, Real: 5.00m, 
2025-10-06 13:32:06,032 - Image: frame_0005.jpg, Person: 1, PixelHeight: 477.5px, Estimated: 7.58m, Real: 5.00m, 
2025-10-06 13:32:06,164 - Image: frame_0008.jpg, Person: 1, PixelHeight: 482.0px, Estimated: 7.51m, Real: 5.00m, 
2025-10-06 13:32:06,298 - Image: frame_0000.jpg, Person: 1, PixelHeight: 452.8px, Estimated: 8.00m, Real: 5.00m, 
2025-10-06 13:32:06,432 - Image: frame_0003.jpg, Person: 1, PixelHeight: 478.8px, Estimated: 7.56m, Real: 5.00m, 
2025-10-06 13:32:06,567 - Image: frame_0009.jpg, Person: 1, PixelHeight: 486.1px, Estimated: 7.45m, Real: 5.00m, 
2025-10-06 13:32:06,701 - Image: frame_0004.jpg, Person: 1, PixelHeight: 492.9px, Estimated: 7.35m, Real: 5.00m, 
2025-10-06 13:32:06,824 - Image: frame_0006.jpg, Person: 1, PixelHeight: 477.4px, Estimated: 7.58m, Real: 5.00m, 
2025-10-06 13:32:06,950 - Image: frame_0002.jpg, Person: 1, PixelHeight: 479.7px, Estimated: 7.55m, Real: 5.00m, 
2025-10-06 13:32:07,075 - Image: frame_0007.jpg, Person: 1, PixelHeight: 335.5px, Estimated: 10.79m, Real: 5.00m, 
2025-10-06 13:32:07,202 - Image: frame_0001.jpg, Person: 1, PixelHeight: 329.1px, Estimated: 11.00m, Real: 5.00m, 
2025-10-06 13:32:07,330 - Image: frame_0005.jpg, Person: 1, PixelHeight: 332.7px, Estimated: 10.88m, Real: 5.00m, 
2025-10-06 13:32:07,455 - Image: frame_0008.jpg, Person: 1, PixelHeight: 334.6px, Estimated: 10.82m, Real: 5.00m, 
2025-10-06 13:32:07,592 - Image: frame_0000.jpg, Person: 1, PixelHeight: 334.2px, Estimated: 10.83m, Real: 5.00m, 
2025-10-06 13:32:07,729 - Image: frame_0003.jpg, Person: 1, PixelHeight: 327.9px, Estimated: 11.04m, Real: 5.00m, 
2025-10-06 13:32:07,863 - Image: frame_0009.jpg, Person: 1, PixelHeight: 335.5px, Estimated: 10.79m, Real: 5.00m, 
2025-10-06 13:32:07,998 - Image: frame_0004.jpg, Person: 1, PixelHeight: 326.6px, Estimated: 11.09m, Real: 5.00m, 
2025-10-06 13:32:08,133 - Image: frame_0006.jpg, Person: 1, PixelHeight: 328.3px, Estimated: 11.03m, Real: 5.00m, 
2025-10-06 13:32:08,267 - Image: frame_0002.jpg, Person: 1, PixelHeight: 325.8px, Estimated: 11.11m, Real: 5.00m, 
2025-10-06 13:32:08,403 - Image: frame_0007.jpg, Person: 1, PixelHeight: 217.4px, Estimated: 16.66m, Real: 10.00m, 
2025-10-06 13:32:08,541 - Image: frame_0001.jpg, Person: 1, PixelHeight: 233.3px, Estimated: 15.52m, Real: 10.00m, 
2025-10-06 13:32:08,679 - Image: frame_0005.jpg, Person: 1, PixelHeight: 224.7px, Estimated: 16.12m, Real: 10.00m, 
2025-10-06 13:32:08,813 - Image: frame_0008.jpg, Person: 1, PixelHeight: 225.7px, Estimated: 16.04m, Real: 10.00m, 
2025-10-06 13:32:08,947 - Image: frame_0000.jpg, Person: 1, PixelHeight: 220.6px, Estimated: 16.41m, Real: 10.00m, 
2025-10-06 13:32:09,083 - Image: frame_0003.jpg, Person: 1, PixelHeight: 216.5px, Estimated: 16.73m, Real: 10.00m, 
2025-10-06 13:32:09,216 - Image: frame_0009.jpg, Person: 1, PixelHeight: 221.9px, Estimated: 16.32m, Real: 10.00m, 
2025-10-06 13:32:09,349 - Image: frame_0004.jpg, Person: 1, PixelHeight: 229.2px, Estimated: 15.80m, Real: 10.00m, 
2025-10-06 13:32:09,482 - Image: frame_0006.jpg, Person: 1, PixelHeight: 236.1px, Estimated: 15.33m, Real: 10.00m, 
2025-10-06 13:32:09,653 - Image: frame_0002.jpg, Person: 1, PixelHeight: 221.5px, Estimated: 16.35m, Real: 10.00m, 
2025-10-06 13:32:09,776 - Image: frame_0007.jpg, Person: 1, PixelHeight: 230.7px, Estimated: 15.70m, Real: 10.00m, 
2025-10-06 13:32:09,892 - Image: frame_0001.jpg, Person: 1, PixelHeight: 222.9px, Estimated: 16.24m, Real: 10.00m, 
2025-10-06 13:32:10,013 - Image: frame_0005.jpg, Person: 1, PixelHeight: 233.2px, Estimated: 15.52m, Real: 10.00m, 
2025-10-06 13:32:10,145 - Image: frame_0008.jpg, Person: 1, PixelHeight: 240.6px, Estimated: 15.05m, Real: 10.00m, 
2025-10-06 13:32:10,278 - Image: frame_0000.jpg, Person: 1, PixelHeight: 226.4px, Estimated: 15.99m, Real: 10.00m, 
2025-10-06 13:32:10,413 - Image: frame_0003.jpg, Person: 1, PixelHeight: 224.9px, Estimated: 16.10m, Real: 10.00m, 
2025-10-06 13:32:10,549 - Image: frame_0009.jpg, Person: 1, PixelHeight: 235.2px, Estimated: 15.39m, Real: 10.00m, 
2025-10-06 13:32:10,672 - Image: frame_0004.jpg, Person: 1, PixelHeight: 232.0px, Estimated: 15.61m, Real: 10.00m, 
2025-10-06 13:32:10,796 - Image: frame_0006.jpg, Person: 1, PixelHeight: 230.1px, Estimated: 15.73m, Real: 10.00m, 
2025-10-06 13:32:10,919 - Image: frame_0002.jpg, Person: 1, PixelHeight: 212.6px, Estimated: 17.03m, Real: 10.00m, 
2025-10-06 13:32:11,041 - Image: frame_0007.jpg, Person: 1, PixelHeight: 340.3px, Estimated: 10.64m, Real: 5.00m, 
2025-10-06 13:32:11,167 - Image: frame_0001.jpg, Person: 1, PixelHeight: 344.0px, Estimated: 10.53m, Real: 5.00m, 
2025-10-06 13:32:11,292 - Image: frame_0005.jpg, Person: 1, PixelHeight: 348.6px, Estimated: 10.39m, Real: 5.00m, 
2025-10-06 13:32:11,417 - Image: frame_0008.jpg, Person: 1, PixelHeight: 343.2px, Estimated: 10.55m, Real: 5.00m, 
2025-10-06 13:32:11,543 - Image: frame_0000.jpg, Person: 1, PixelHeight: 351.8px, Estimated: 10.29m, Real: 5.00m, 
2025-10-06 13:32:11,668 - Image: frame_0003.jpg, Person: 1, PixelHeight: 331.0px, Estimated: 10.94m, Real: 5.00m, 
2025-10-06 13:32:11,795 - Image: frame_0009.jpg, Person: 1, PixelHeight: 342.0px, Estimated: 10.59m, Real: 5.00m, 
2025-10-06 13:32:11,918 - Image: frame_0004.jpg, Person: 1, PixelHeight: 340.6px, Estimated: 10.63m, Real: 5.00m, 
